source,dataset,season,url,params,local_path,downloaded_at_utc,bytes,sha256,remote_updated_at,required,notes
cfbd,plays,2026,https://api.collegefootballdata.com/plays,"{""team"": ""Auburn"", ""week"": 1, ""year"": 2026}",data/raw/cfbd/plays/team-Auburn_week-1_year-2026.json,2026-09-16T18:09:12+00:00,139345,c141cf6dad5f0cdb4571fa08bc59af476f5061752d6ff7dc69930f63a3fe0954,,False,records=217
cfbd,plays,2026,https://api.collegefootballdata.com/plays,"{""team"": ""Auburn"", ""week"": 2, ""year"": 2026}",data/raw/cfbd/plays/team-Auburn_week-2_year-2026.json,2026-09-16T18:09:14+00:00,123279,fc1d785d1b224e036e4f43d16a427a0af82588e17c902c464c0e8018fd7f8f6f,,False,records=188
cfbd,plays,2026,https://api.collegefootballdata.com/plays,"{""team"": ""Florida"", ""week"": 1, ""year"": 2026}",data/raw/cfbd/plays/team-Florida_week-1_year-2026.json,2026-09-16T18:09:16+00:00,134717,b7269aadfc0ef1664a2d13229ba29a7c746eb9390e7b0c3dda43b5c270d7bef3,,False,records=198
cfbd,plays,2026,https://api.collegefootballdata.com/plays,"{""team"": ""Florida"", ""week"": 2, ""year"": 2026}",data/raw/cfbd/plays/team-Florida_week-2_year-2026.json,2026-09-16T18:09:16+00:00,107455,beaf7f81ba6efd07eb263a5c54f84de86190ce6f5bba1ad3d8c40243083659a5,,False,records=163
cfbd,ratings_sp,2025,https://api.collegefootballdata.com/ratings/sp,"{""year"": 2025}",data/raw/cfbd/ratings_sp/year-2025.json,2026-09-16T18:09:17+00:00,71174,5162eac2389fa8e741c0ae8daeb213405b671498284e3a8b43d43fa7a7583430,,False,records=137
cfbd,ratings_sp,2026,https://api.collegefootballdata.com/ratings/sp,"{""year"": 2026}",data/raw/cfbd/ratings_sp/year-2026.json,2026-09-16T18:09:17+00:00,72262,79846234dbc92dd7caa983a09abf530c03b9e4e17b63cfc431222386ca5cdad7,,False,records=139
cfbd,returning_production,2026,https://api.collegefootballdata.com/player/returning,"{""year"": 2026}",data/raw/cfbd/returning_production/year-2026.json,2026-09-16T18:19:11+00:00,43892,fedfbe805fb628452fdfe9d5ea97da917a4f591b5320c8af448abcca38751449,,False,records=136
cfbd,rushing_plays,2026,https://api.collegefootballdata.com/rushing/plays,"{""team"": ""Auburn"", ""year"": 2026}",data/raw/cfbd/rushing_plays/team-Auburn_year-2026.json,2026-09-16T18:09:12+00:00,125000,1120e18460083716133e7a3d52bd1d6697edd9424bd3c6c51eec0ce0aad54d19,,False,records=160
cfbd,rushing_plays,2026,https://api.collegefootballdata.com/rushing/plays,"{""team"": ""Florida"", ""year"": 2026}",data/raw/cfbd/rushing_plays/team-Florida_year-2026.json,2026-09-16T18:09:16+00:00,85622,38f268e33b5ae11859b6a9601a11d3949d8f8f702a08ed50ccfc71f0ec5bbfde,,False,records=108
cfbd,stats_game_advanced,2026,https://api.collegefootballdata.com/stats/game/advanced,"{""team"": ""Auburn"", ""year"": 2026}",data/raw/cfbd/stats_game_advanced/team-Auburn_year-2026.json,2026-09-16T18:09:10+00:00,3779,b0f3211c6f9d721c5d0595f4a6dbf800ca7ae5a5bb6d8006a503e50501085473,,True,records=2
cfbd,stats_game_advanced,2026,https://api.collegefootballdata.com/stats/game/advanced,"{""team"": ""Florida"", ""year"": 2026}",data/raw/cfbd/stats_game_advanced/team-Florida_year-2026.json,2026-09-16T18:09:14+00:00,3655,21692e44101f1979bea006a051ace7552ae45ba4e27c071c486fc5473a016b1e,,True,records=2
