panel,decile,quintile,games,mean_edge,mean_realized,fitted_realized,mean_lean,mean_result_vs_line,beat_the_line_rate,slope,correlation_offense_result,correlation_vs_line,line_ci_low,line_ci_high
offense result,1.0,,637,-0.0396040593842223,-0.0938936962260642,-0.0843615743779829,,,,2.132548348580673,0.2344662009481443,0.0039591364903208,-0.0305966086573307,0.0368403998212734
offense result,2.0,,637,-0.0226059254147573,-0.0429918314308829,-0.0481122318524474,,,,2.132548348580673,0.2344662009481443,0.0039591364903208,-0.0305966086573307,0.0368403998212734
offense result,3.0,,637,-0.014503600550268,-0.0191342980224124,-0.0308336323430165,,,,2.132548348580673,0.2344662009481443,0.0039591364903208,-0.0305966086573307,0.0368403998212734
offense result,4.0,,636,-0.0081301147429606,-0.0131590145255746,-0.0172418657099409,,,,2.132548348580673,0.2344662009481443,0.0039591364903208,-0.0305966086573307,0.0368403998212734
offense result,5.0,,637,-0.0030353782938533,-0.005896827856904,-0.0063770939089434,,,,2.132548348580673,0.2344662009481443,0.0039591364903208,-0.0305966086573307,0.0368403998212734
offense result,6.0,,637,0.0019810028881301,-0.0022242958958474,0.0043205814965466,,,,2.132548348580673,0.2344662009481443,0.0039591364903208,-0.0305966086573307,0.0368403998212734
offense result,7.0,,636,0.0074720345502413,0.0141279682136218,0.0160304719995862,,,,2.132548348580673,0.2344662009481443,0.0039591364903208,-0.0305966086573307,0.0368403998212734
offense result,8.0,,637,0.0134107256828694,0.0212580841009083,0.0286950179672028,,,,2.132548348580673,0.2344662009481443,0.0039591364903208,-0.0305966086573307,0.0368403998212734
offense result,9.0,,637,0.0215141188178412,0.0510124360418996,0.0459758956150868,,,,2.132548348580673,0.2344662009481443,0.0039591364903208,-0.0305966086573307,0.0368403998212734
offense result,10.0,,637,0.0387515437139847,0.0817325820984885,0.0827355376111412,,,,2.132548348580673,0.2344662009481443,0.0039591364903208,-0.0305966086573307,0.0368403998212734
against the market line,,1.0,638,,,,-0.0327940072667299,-0.4408307210031348,0.4733542319749216,,0.2344662009481443,0.0039591364903208,-0.0305966086573307,0.0368403998212734
against the market line,,2.0,638,,,,-0.0129478719085779,-0.0599529780564263,0.493730407523511,,0.2344662009481443,0.0039591364903208,-0.0305966086573307,0.0368403998212734
against the market line,,3.0,637,,,,-0.0002033246956175,0.8897174254317112,0.5023547880690737,,0.2344662009481443,0.0039591364903208,-0.0305966086573307,0.0368403998212734
against the market line,,4.0,638,,,,0.0131050034851809,-0.0748432601880877,0.5078369905956113,,0.2344662009481443,0.0039591364903208,-0.0305966086573307,0.0368403998212734
against the market line,,5.0,638,,,,0.0338999608288011,-0.1575235109717868,0.4796238244514106,,0.2344662009481443,0.0039591364903208,-0.0305966086573307,0.0368403998212734
