sample,edge,games,correlation,rmse,rmse_no_information,rmse_improvement,correlation_ci_low,correlation_ci_high
"2021-2025, baseline fit without the season it scores",as measured,6368,0.22137497272490206,0.18702386790251482,0.18920840232488667,0.011545652283564078,0.1967336756217814,0.24631791259137883
"2021-2025, baseline fit without the season it scores",shrunk,6368,0.23446620094814438,0.18545654549447982,0.18920840232488667,0.019829229486144073,0.20936057679442618,0.25819056675914
"2025 only, baseline fit on 2021-2024 (strictly prospective)",as measured,1302,0.25439144255761437,0.17961246658765687,0.1836897796106766,0.022196733164258964,,
"2025 only, baseline fit on 2021-2024 (strictly prospective)",shrunk,1302,0.2440666638970009,0.1798796407986215,0.1836897796106766,0.02074224717417883,,
