play_family,down_group,metric,check,name,edge,primary_edge,kept_direction,note
run,standard downs,value,8,environment correction removed,,-0.010383585035431804,,not applicable: no correction was triggered
run,standard downs,value,9,display threshold,,-0.010383585035431804,True,54 and 21 plays
run,standard downs,value,10,boosted baseline,-0.012961751677091696,-0.010383585035431804,True,
run,standard downs,explosive,1,2023-2025 sensitivity baseline,-0.0007763755680372812,-0.0007760885303366702,True,
run,standard downs,explosive,2,garbage time included,-0.0007255585552622623,-0.0007760885303366702,True,
run,standard downs,explosive,3,accepted-penalty snaps included,,-0.0007760885303366702,,not applicable: yardage unreliable
run,standard downs,explosive,4,giveaways removed,-0.0007212912468934915,-0.0007760885303366702,True,
run,standard downs,explosive,5,alternate explosive definition,-0.0015157063748859907,-0.0007760885303366702,True,
run,standard downs,explosive,6,without Baylor at Auburn,-0.0011507818872724825,-0.0007760885303366702,True,
run,standard downs,explosive,6,without Southern Miss at Auburn,6.490544534441508e-05,-0.0007760885303366702,False,
run,standard downs,explosive,6,without Florida Atlantic at Florida,-0.0005802622386415515,-0.0007760885303366702,True,
run,standard downs,explosive,6,without Campbell at Florida,-0.0006860146516319561,-0.0007760885303366702,True,
run,standard downs,explosive,7,most influential play removed,-0.0007292423282372151,-0.0007760885303366702,True,Auburn offense: (02:42) No Huddle-Shotgun #29 O.Mabson II rush middle for 6 yards gain to the USM27 (#6 A.Martin)
run,standard downs,explosive,8,environment correction removed,,-0.0007760885303366702,,not applicable: no correction was triggered
run,standard downs,explosive,9,display threshold,,-0.0007760885303366702,True,54 and 21 plays
run,standard downs,explosive,10,boosted baseline,-0.0009347949524742903,-0.0007760885303366702,True,
run,passing downs,value,1,2023-2025 sensitivity baseline,0.0009717504361519491,0.001165848422561352,True,
run,passing downs,value,2,garbage time included,0.02515751998720262,0.001165848422561352,True,
run,passing downs,value,3,accepted-penalty snaps included,0.001165848422561352,0.001165848422561352,True,
run,passing downs,value,4,giveaways removed,0.001165848422561352,0.001165848422561352,True,
run,passing downs,value,5,alternate explosive definition,,0.001165848422561352,,not applicable to PPA
run,passing downs,value,6,without Baylor at Auburn,0.01738962904840354,0.001165848422561352,True,
run,passing downs,value,6,without Southern Miss at Auburn,-0.012235554949749775,0.001165848422561352,False,
run,passing downs,value,6,without Florida Atlantic at Florida,-0.002602175915412767,0.001165848422561352,False,
run,passing downs,value,6,without Campbell at Florida,0.0005799510859358153,0.001165848422561352,True,
