play_family,down_bin,distance_bin,side,team,metric,plays,tier,observed,expected,raw_residual,shrink_factor,shrunk_residual
pass,1st,long 8+,offense,Auburn,value,25,eligible,-0.06931772025440662,0.17955092267461592,-0.24886864292902253,0.05018568704205561,-0.01248964382861701
pass,2nd,long 8+,offense,Auburn,value,14,limited,0.06632594689204499,0.42319879628922985,-0.3568728493971848,0.047322877230935645,-0.016888250039077162
pass,2nd,medium 4-7,offense,Auburn,value,4,hidden,-0.7903715331552723,0.15353636629726264,-0.9439078994525348,0.008383108037304831,
pass,2nd,short 1-3,offense,Auburn,value,3,hidden,0.10992648179940621,0.1618743838632841,-0.05194790206387793,0.00630053554552137,
pass,3rd/4th,long 8+,offense,Auburn,value,7,hidden,0.06759469420211542,0.45498198580028865,-0.3873872915981732,0.024234870516548955,
pass,3rd/4th,medium 4-7,offense,Auburn,value,9,limited,0.7743209973028665,0.5768298472585307,0.1974911500443358,0.018666390127553667,0.0036864468534668097
pass,3rd/4th,short 1-3,offense,Auburn,value,3,hidden,2.547311055122018,0.712140456302078,1.8351705988199403,0.00630053554552137,
run,1st,long 8+,offense,Auburn,value,34,eligible,-0.047522436373546015,0.15429289200697419,-0.2018153283805202,0.07868366851033301,-0.015879570398596853
run,1st,medium 4-7,offense,Auburn,value,1,hidden,-0.406952783544102,-0.12297374597805188,-0.28397903756605014,0.0025055749041617598,
run,2nd,long 8+,offense,Auburn,value,8,limited,0.17390773158013215,0.3665955044698157,-0.19268777288968353,0.04805093399002943,-0.009258827455807965
run,2nd,medium 4-7,offense,Auburn,value,9,limited,-0.29576757006490134,0.20472228264291056,-0.5004898527078119,0.022107047235390927,-0.011064352814645444
run,2nd,short 1-3,offense,Auburn,value,1,hidden,0.215696746562587,0.0013094709926375625,0.21438727556994944,0.0025055749041617598,
run,3rd/4th,long 8+,offense,Auburn,value,4,hidden,1.3272012972184017,0.6766134190470087,0.650587878171393,0.024616899501507784,
run,3rd/4th,medium 4-7,offense,Auburn,value,3,hidden,-0.21524981362811157,0.5126792690471106,-0.7279290826752222,0.01857700167193015,
run,3rd/4th,short 1-3,offense,Auburn,value,9,limited,0.7688879993224581,0.6485749217297567,0.12031307759270155,0.022107047235390927,0.0026597668893771067
pass,1st,long 8+,offense,Auburn,explosive,25,eligible,0.12,0.14223644019765624,-0.022236440197656263,0.05300203527815468,-0.001178576587816754
pass,2nd,long 8+,offense,Auburn,explosive,14,limited,0.0,0.11234188089123391,-0.11234188089123391,0.03591216909501334,-0.00403444062301784
pass,2nd,medium 4-7,offense,Auburn,explosive,4,hidden,0.0,0.12262622547958685,-0.12262622547958685,0.008875477056891809,
pass,2nd,short 1-3,offense,Auburn,explosive,3,hidden,0.3333333333333333,0.15000180104707936,0.18333153228625398,0.006671410780999822,
pass,3rd/4th,long 8+,offense,Auburn,explosive,7,hidden,0.0,0.1272064459013223,-0.1272064459013223,0.018284400794065406,
pass,3rd/4th,medium 4-7,offense,Auburn,explosive,9,limited,0.1111111111111111,0.09080868345044349,0.02030242766066763,0.019750702247191013,0.00040098720362098113
pass,3rd/4th,short 1-3,offense,Auburn,explosive,3,hidden,0.3333333333333333,0.07446636362222239,0.25886696971111095,0.006671410780999822,
run,1st,long 8+,offense,Auburn,explosive,34,eligible,0.058823529411764705,0.054136769591086924,0.004686759820677782,0.04104644284282834,0.00019237481909751498
run,1st,medium 4-7,offense,Auburn,explosive,1,hidden,0.0,0.05057200508924575,-0.05057200508924575,0.001257339720619114,
run,2nd,long 8+,offense,Auburn,explosive,8,limited,0.0,0.04684068021417977,-0.04684068021417977,0.024673842642568545,-0.0011557395728755454
run,2nd,medium 4-7,offense,Auburn,explosive,9,limited,0.0,0.05067304383498942,-0.05067304383498942,0.011203365989070494,-0.0005677086558635987
run,2nd,short 1-3,offense,Auburn,explosive,1,hidden,0.0,0.046929201430285054,-0.046929201430285054,0.001257339720619114,
run,3rd/4th,long 8+,offense,Auburn,explosive,4,hidden,0.25,0.05362594145691053,0.19637405854308948,0.012491022077881522,
run,3rd/4th,medium 4-7,offense,Auburn,explosive,3,hidden,0.0,0.07702643038463537,-0.07702643038463537,0.0093976130062964,
run,3rd/4th,short 1-3,offense,Auburn,explosive,9,limited,0.0,0.04795854044826897,-0.04795854044826897,0.011203365989070494,-0.0005372970809435982
pass,1st,long 8+,defense,Florida,value,21,eligible,-0.10650776398410375,-0.1176784153622833,0.011170651378179571,0.024350649350649352,0.0002720126147283987
pass,2nd,long 8+,defense,Florida,value,9,limited,-0.060108678371916836,0.11315396860999918,-0.17326264698191599,0.009443266950664176,-0.0016361654280289215
pass,2nd,medium 4-7,defense,Florida,value,8,limited,-0.5395168556112915,-0.20185995912208132,-0.3376568964892101,0.009418412997409937,-0.003180192102559078
pass,2nd,short 1-3,defense,Florida,value,3,hidden,-0.4330270408858124,-0.34779227138296137,-0.0852347695028511,0.0035528185693983897,
pass,3rd/4th,long 8+,defense,Florida,value,2,hidden,-1.404784991240064,0.09173681550495814,-1.4965218067450223,0.002114030822569393,
pass,3rd/4th,medium 4-7,defense,Florida,value,13,limited,0.4187197293244507,0.23748708686237588,0.18123264246207488,0.01358326541700625,0.00246173108478776
pass,3rd/4th,short 1-3,defense,Florida,value,5,hidden,0.5628445937855873,0.4149472725828332,0.14789732120275406,0.005907372400756144,
run,1st,long 8+,defense,Florida,value,13,limited,-0.34048518374435494,-0.2384216153428131,-0.10206356840154185,0.03735954248929505,-0.0038130482203064743
run,1st,short 1-3,defense,Florida,value,1,hidden,0.938021275120443,-0.04338165351685794,0.9814029286373009,0.00297645623121112,
run,2nd,long 8+,defense,Florida,value,8,limited,-0.006713580123970074,0.014831931879589769,-0.02154551200355985,0.01861764021410286,-0.0004011265907109118
run,2nd,medium 4-7,defense,Florida,value,1,hidden,-0.5507043882723915,0.3639942501116308,-0.9146986383840223,0.00297645623121112,
run,2nd,short 1-3,defense,Florida,value,2,hidden,-0.2046920481841284,-0.06638366584594926,-0.1383083823381791,0.005935246461109297,
run,3rd/4th,long 8+,defense,Florida,value,1,hidden,0.16263828478120335,0.32311159427649844,-0.1604733094952951,0.0023657440264963333,
run,3rd/4th,medium 4-7,defense,Florida,value,5,hidden,0.966919083011948,0.29729769081486956,0.6696213921970784,0.011717834544176237,
run,3rd/4th,short 1-3,defense,Florida,value,3,hidden,1.429741729008507,0.39387166673731966,1.0358700622711874,0.008876527502441044,
pass,1st,long 8+,defense,Florida,explosive,21,eligible,0.047619047619047616,0.0714418196778279,-0.02382277205878028,0.01943994445730155,-0.000463113365641644
pass,2nd,long 8+,defense,Florida,explosive,9,limited,0.0,0.05833478378840045,-0.05833478378840045,0.008424994149309618,-0.0004914702121185154
pass,2nd,medium 4-7,defense,Florida,explosive,8,limited,0.0,0.04313638037750306,-0.04313638037750306,0.007495900679315999,-0.0003233460229749585
pass,2nd,short 1-3,defense,Florida,explosive,3,hidden,0.3333333333333333,0.062250102833132794,0.2710832305002005,0.002824193927983055,
pass,3rd/4th,long 8+,defense,Florida,explosive,2,hidden,0.0,0.07106868092996832,-0.07106868092996832,0.001884570082449941,
pass,3rd/4th,medium 4-7,defense,Florida,explosive,13,limited,0.07692307692307693,0.05440618546975182,0.0225168914533251,0.012124038237351364,0.00027299565296640366
pass,3rd/4th,short 1-3,defense,Florida,explosive,5,hidden,0.0,0.06594057978532938,-0.06594057978532938,0.004698144233027954,
run,1st,long 8+,defense,Florida,explosive,13,limited,0.0,0.024923312146191225,-0.024923312146191225,0.016102461199261762,-0.0004013266667911336
run,1st,short 1-3,defense,Florida,explosive,1,hidden,0.0,6.412927535507876e-06,-6.412927535507876e-06,0.001257339720619114,
run,2nd,long 8+,defense,Florida,explosive,8,limited,0.0,0.024226365513734714,-0.024226365513734714,0.03263441298849637,-0.0007906132173854846
run,2nd,medium 4-7,defense,Florida,explosive,1,hidden,0.0,2.3677722197401014e-05,-2.3677722197401014e-05,0.001257339720619114,
run,2nd,short 1-3,defense,Florida,explosive,2,hidden,0.0,0.015467048939613884,-0.015467048939613884,0.00251152160536461,
run,3rd/4th,long 8+,defense,Florida,explosive,1,hidden,0.0,0.027433273912112147,-0.027433273912112147,0.004199210548416898,
run,3rd/4th,medium 4-7,defense,Florida,explosive,5,hidden,0.0,0.01566981806866412,-0.01566981806866412,0.020649211200132155,
run,3rd/4th,short 1-3,defense,Florida,explosive,3,hidden,0.0,0.027482580560725545,-0.027482580560725545,0.003762557535775651,
